                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.376,                 4.9065,                 1.2982,                0.00999,                0.01586,                 0.0045,                0.00123,                      0,                      0,                      0,              0.0033292,              0.0033292,              0.0033292
                      2,                 3.6871,                 3.0306,                 1.4274,                0.64949,                0.03975,                0.03582,                0.01143,                      0,                      0,                      0,              0.0065966,              0.0065966,              0.0065966
                      3,                 3.4015,                 2.5916,                 1.3882,                0.16929,                0.07076,                0.08193,                0.03176,                      0,                      0,                      0,               0.009798,               0.009798,               0.009798
                      4,                 3.2064,                 2.2824,                 1.3309,                 0.3376,                0.12314,                0.10482,                0.04521,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      5,                 3.0476,                 2.0666,                 1.2835,                0.39035,                0.13722,                0.11372,                0.05208,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      6,                 2.9427,                 1.9226,                 1.2443,                0.35637,                0.15184,                0.14538,                0.07004,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                      7,                 2.8689,                 1.8538,                  1.218,                0.33471,                0.16764,                0.15035,                0.07301,                      0,                      0,                      0,               0.009505,               0.009505,               0.009505
                      8,                 2.8106,                 1.7829,                 1.1941,                0.26436,                0.19009,                0.16943,                0.08222,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
                      9,                  2.751,                 1.7247,                 1.1752,                0.28063,                0.18767,                0.17003,                0.08269,                      0,                      0,                      0,               0.009307,               0.009307,               0.009307
                     10,                 2.7142,                 1.6823,                 1.1563,                0.27541,                0.20887,                0.17999,                0.09165,                      0,                      0,                      0,               0.009208,               0.009208,               0.009208
                     11,                 2.6869,                 1.6394,                 1.1449,                0.30483,                0.21296,                0.19076,                0.09845,                      0,                      0,                      0,               0.009109,               0.009109,               0.009109
                     12,                 2.6574,                 1.6118,                 1.1302,                0.30748,                0.21711,                0.19772,                 0.1027,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                     13,                 2.6232,                 1.5829,                 1.1195,                0.33272,                0.22218,                0.20754,                0.10652,                      0,                      0,                      0,               0.008911,               0.008911,               0.008911
                     14,                 2.6067,                 1.5564,                 1.1105,                0.36699,                0.22798,                0.21382,                0.10988,                      0,                      0,                      0,               0.008812,               0.008812,               0.008812
                     15,                 2.5864,                  1.549,                 1.1047,                0.34022,                0.23215,                0.22256,                0.11683,                      0,                      0,                      0,               0.008713,               0.008713,               0.008713
                     16,                 2.5632,                 1.5147,                 1.0917,                0.35608,                0.23248,                0.22185,                0.11447,                      0,                      0,                      0,               0.008614,               0.008614,               0.008614
                     17,                 2.5474,                 1.5076,                  1.086,                0.35145,                0.24834,                0.22852,                0.11871,                      0,                      0,                      0,               0.008515,               0.008515,               0.008515
                     18,                  2.529,                 1.4891,                  1.072,                0.38371,                0.25406,                 0.2434,                0.12761,                      0,                      0,                      0,               0.008416,               0.008416,               0.008416
                     19,                 2.5151,                 1.4667,                 1.0699,                0.36749,                0.25853,                0.24601,                0.13007,                      0,                      0,                      0,               0.008317,               0.008317,               0.008317
                     20,                  2.501,                 1.4643,                 1.0632,                0.38001,                0.25351,                0.24844,                0.13122,                      0,                      0,                      0,               0.008218,               0.008218,               0.008218
                     21,                 2.4839,                 1.4505,                 1.0553,                0.36307,                0.26287,                0.25245,                0.13545,                      0,                      0,                      0,               0.008119,               0.008119,               0.008119
                     22,                 2.4649,                 1.4352,                 1.0487,                0.37649,                0.26528,                0.25564,                 0.1359,                      0,                      0,                      0,                0.00802,                0.00802,                0.00802
                     23,                 2.4675,                 1.4237,                 1.0455,                0.39198,                0.28265,                0.26752,                0.14203,                      0,                      0,                      0,               0.007921,               0.007921,               0.007921
                     24,                 2.4436,                  1.408,                 1.0339,                0.37875,                0.27725,                0.26195,                 0.1395,                      0,                      0,                      0,               0.007822,               0.007822,               0.007822
                     25,                 2.4435,                 1.4057,                 1.0404,                0.39096,                0.28136,                0.27005,                0.14445,                      0,                      0,                      0,               0.007723,               0.007723,               0.007723
                     26,                 2.4248,                 1.3925,                   1.03,                0.38443,                0.28608,                0.27526,                0.14767,                      0,                      0,                      0,               0.007624,               0.007624,               0.007624
                     27,                 2.4135,                 1.3764,                 1.0194,                0.41967,                0.27914,                0.27577,                0.14821,                      0,                      0,                      0,               0.007525,               0.007525,               0.007525
                     28,                 2.4103,                 1.3846,                 1.0218,                0.39927,                0.28389,                0.27667,                0.14737,                      0,                      0,                      0,               0.007426,               0.007426,               0.007426
                     29,                 2.4054,                 1.3674,                 1.0102,                0.40369,                0.29153,                0.28124,                0.15114,                      0,                      0,                      0,               0.007327,               0.007327,               0.007327
                     30,                 2.3908,                  1.367,                 1.0142,                0.40566,                0.29022,                 0.2834,                0.15288,                      0,                      0,                      0,               0.007228,               0.007228,               0.007228
