                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2557,                 3.9239,                 2.8368,                0.02868,                0.07416,                  0.026,                0.00851,                 3.4046,                 2.6691,                 1.7187,              0.0033292,              0.0033292,              0.0033292
                      2,                 3.1867,                 2.5149,                 1.5896,                0.29889,                 0.0904,                0.06118,                 0.0262,                 2.9279,                  2.021,                 1.3925,              0.0065966,              0.0065966,              0.0065966
                      3,                 2.8992,                 2.1727,                 1.3798,                0.32281,                 0.1143,                0.08896,                0.04236,                  2.704,                 1.8215,                 1.2421,               0.009798,               0.009798,               0.009798
                      4,                 2.7433,                 1.9535,                 1.2712,                0.18211,                0.15033,                0.11197,                0.05452,                 2.5822,                 1.6865,                 1.1732,               0.009703,               0.009703,               0.009703
                      5,                 2.6283,                 1.7785,                 1.2094,                0.19947,                0.17176,                0.13187,                0.06428,                 2.4844,                 1.5184,                  1.129,               0.009703,               0.009703,               0.009703
                      6,                 2.5537,                 1.6607,                 1.1717,                 0.2493,                0.17358,                0.15203,                0.07879,                 2.4221,                  1.456,                 1.0975,               0.009604,               0.009604,               0.009604
                      7,                 2.5006,                 1.5847,                 1.1471,                0.23705,                0.19993,                0.16399,                0.08424,                 2.3944,                 1.4274,                 1.0885,               0.009505,               0.009505,               0.009505
                      8,                 2.4647,                 1.5263,                 1.1335,                0.25494,                0.21494,                0.17635,                 0.0902,                 2.3556,                 1.3549,                 1.0746,               0.009406,               0.009406,               0.009406
                      9,                 2.4264,                 1.4783,                 1.1157,                0.24847,                0.19924,                0.16413,                0.08458,                 2.3726,                 1.3541,                 1.0742,               0.009307,               0.009307,               0.009307
                     10,                 2.3944,                 1.4278,                 1.1012,                 0.2609,                0.21491,                0.18095,                0.09715,                  2.329,                 1.3048,                 1.0531,               0.009208,               0.009208,               0.009208
                     11,                 2.3834,                 1.4007,                 1.0913,                0.27125,                0.22792,                 0.1956,                0.10462,                 2.2906,                 1.2547,                 1.0425,               0.009109,               0.009109,               0.009109
                     12,                 2.3719,                  1.378,                  1.086,                0.28876,                0.23098,                0.20299,                0.10817,                 2.2878,                 1.2476,                 1.0399,                0.00901,                0.00901,                0.00901
                     13,                 2.3453,                 1.3455,                 1.0754,                0.31374,                0.24021,                0.21726,                 0.1157,                 2.2622,                 1.2161,                 1.0329,               0.008911,               0.008911,               0.008911
                     14,                 2.3331,                  1.326,                  1.071,                0.31409,                0.24296,                0.21997,                0.11804,                 2.2515,                 1.2036,                 1.0268,               0.008812,               0.008812,               0.008812
                     15,                 2.3268,                 1.3167,                 1.0644,                0.32077,                0.24491,                0.22641,                0.12192,                 2.2483,                 1.1816,                 1.0249,               0.008713,               0.008713,               0.008713
                     16,                 2.3155,                 1.2946,                 1.0594,                 0.3298,                0.25348,                0.23207,                0.12533,                 2.2366,                 1.1664,                 1.0203,               0.008614,               0.008614,               0.008614
                     17,                 2.3067,                 1.2793,                 1.0572,                0.35003,                0.25737,                0.24228,                0.13052,                 2.2246,                 1.1489,                 1.0167,               0.008515,               0.008515,               0.008515
                     18,                  2.289,                 1.2583,                 1.0508,                0.35298,                0.25243,                0.24527,                0.13319,                  2.214,                 1.1618,                 1.0156,               0.008416,               0.008416,               0.008416
                     19,                 2.2889,                 1.2527,                 1.0486,                0.35066,                0.26147,                0.24575,                 0.1345,                 2.2088,                 1.1296,                 1.0081,               0.008317,               0.008317,               0.008317
                     20,                 2.2773,                 1.2398,                 1.0466,                0.35458,                0.26672,                0.24718,                0.13583,                 2.2077,                 1.1331,                 1.0094,               0.008218,               0.008218,               0.008218
                     21,                 2.2693,                 1.2249,                 1.0397,                0.34152,                0.26209,                0.24387,                0.13485,                 2.1982,                  1.127,                 1.0027,               0.008119,               0.008119,               0.008119
                     22,                 2.2609,                 1.2138,                 1.0405,                0.37126,                0.26505,                0.25446,                0.14054,                 2.1947,                 1.1059,                 1.0012,                0.00802,                0.00802,                0.00802
                     23,                 2.2627,                 1.2039,                 1.0373,                0.36392,                0.27663,                0.26027,                0.14384,                 2.1883,                 1.1005,                0.99643,               0.007921,               0.007921,               0.007921
                     24,                 2.2496,                 1.1914,                 1.0345,                0.36416,                0.26719,                0.25769,                 0.1432,                 2.1861,                 1.0966,                  0.998,               0.007822,               0.007822,               0.007822
                     25,                 2.2496,                 1.1934,                 1.0328,                0.36102,                0.27631,                0.26341,                0.14566,                 2.1741,                 1.0927,                0.99448,               0.007723,               0.007723,               0.007723
                     26,                 2.2357,                 1.1777,                  1.027,                0.36824,                0.27529,                0.26569,                0.14825,                 2.1708,                 1.0948,                0.99157,               0.007624,               0.007624,               0.007624
                     27,                 2.2314,                 1.1637,                 1.0259,                0.36215,                0.27922,                0.26924,                 0.1514,                 2.1646,                 1.0817,                0.98852,               0.007525,               0.007525,               0.007525
                     28,                 2.2361,                 1.1711,                 1.0254,                0.38517,                0.28379,                0.27364,                0.15369,                 2.1632,                 1.0756,                0.98874,               0.007426,               0.007426,               0.007426
                     29,                 2.2281,                 1.1535,                 1.0248,                0.38721,                 0.2841,                0.27766,                0.15522,                 2.1636,                 1.0628,                0.98806,               0.007327,               0.007327,               0.007327
                     30,                 2.2193,                 1.1534,                 1.0207,                0.37833,                0.28455,                0.27167,                0.15087,                 2.1588,                 1.0669,                0.98785,               0.007228,               0.007228,               0.007228
                     31,                 2.2169,                 1.1382,                 1.0199,                0.37598,                0.28619,                0.27659,                0.15428,                 2.1548,                 1.0565,                0.98615,               0.007129,               0.007129,               0.007129
                     32,                  2.217,                 1.1399,                  1.019,                0.38018,                0.29192,                0.28041,                0.15581,                 2.1504,                 1.0512,                0.98283,                0.00703,                0.00703,                0.00703
                     33,                 2.2152,                 1.1386,                 1.0213,                0.37804,                0.29718,                0.28427,                0.15959,                 2.1475,                 1.0469,                0.98228,               0.006931,               0.006931,               0.006931
                     34,                 2.2101,                 1.1214,                 1.0126,                0.37938,                0.29666,                0.28459,                0.15889,                 2.1445,                 1.0425,                0.97979,               0.006832,               0.006832,               0.006832
                     35,                 2.2039,                 1.1245,                 1.0118,                0.38212,                0.29787,                0.28553,                0.16021,                 2.1422,                 1.0457,                0.98114,               0.006733,               0.006733,               0.006733
                     36,                 2.2043,                 1.1143,                  1.013,                 0.3729,                0.29995,                0.28317,                0.15801,                 2.1419,                 1.0366,                0.97928,               0.006634,               0.006634,               0.006634
                     37,                 2.1963,                 1.1085,                 1.0105,                0.38549,                0.30168,                0.28502,                0.16007,                 2.1406,                 1.0378,                0.98047,               0.006535,               0.006535,               0.006535
                     38,                 2.1929,                  1.105,                 1.0105,                0.39933,                0.30056,                0.29111,                0.16213,                 2.1371,                 1.0292,                0.97888,               0.006436,               0.006436,               0.006436
                     39,                 2.1868,                 1.0955,                 1.0094,                0.40283,                0.29966,                0.29019,                0.16259,                 2.1359,                 1.0309,                 0.9765,               0.006337,               0.006337,               0.006337
                     40,                 2.1908,                 1.0952,                 1.0063,                0.39274,                0.30213,                0.28913,                0.16386,                 2.1311,                 1.0266,                0.97489,               0.006238,               0.006238,               0.006238
                     41,                 2.1919,                 1.0986,                 1.0084,                0.38263,                0.30489,                0.29159,                 0.1643,                 2.1308,                 1.0215,                0.97586,               0.006139,               0.006139,               0.006139
                     42,                 2.1808,                 1.0836,                 1.0051,                0.40397,                0.30403,                0.29682,                0.16716,                 2.1285,                 1.0186,                0.97472,                0.00604,                0.00604,                0.00604
                     43,                 2.1765,                 1.0755,                 1.0026,                0.39517,                0.30624,                0.29752,                 0.1681,                 2.1231,                 1.0126,                0.97431,               0.005941,               0.005941,               0.005941
                     44,                 2.1785,                 1.0803,                 1.0007,                0.39955,                0.30158,                0.29783,                0.16771,                 2.1234,                 1.0148,                0.97219,               0.005842,               0.005842,               0.005842
                     45,                 2.1749,                 1.0736,                 1.0034,                0.40107,                0.30506,                0.29922,                0.16853,                 2.1222,                 1.0107,                0.97159,               0.005743,               0.005743,               0.005743
                     46,                 2.1691,                 1.0647,                0.99823,                 0.4042,                0.30803,                0.29698,                 0.1667,                  2.124,                 1.0114,                0.97098,               0.005644,               0.005644,               0.005644
                     47,                 2.1715,                  1.067,                0.99972,                  0.398,                0.30861,                0.29758,                0.16804,                  2.118,                  1.008,                0.97063,               0.005545,               0.005545,               0.005545
                     48,                 2.1772,                 1.0727,                  1.005,                0.40119,                0.31241,                0.30255,                0.17003,                 2.1174,                 1.0048,                0.96995,               0.005446,               0.005446,               0.005446
                     49,                 2.1716,                 1.0641,                0.99705,                0.40439,                0.31242,                0.30533,                0.17189,                 2.1168,                 1.0017,                0.97007,               0.005347,               0.005347,               0.005347
                     50,                 2.1729,                 1.0632,                0.99865,                0.40834,                0.31452,                0.30606,                0.17342,                  2.113,                0.99652,                0.96834,               0.005248,               0.005248,               0.005248
                     51,                  2.164,                 1.0508,                0.99753,                0.40983,                0.31254,                0.30648,                0.17327,                 2.1126,                0.99689,                0.96817,               0.005149,               0.005149,               0.005149
                     52,                 2.1584,                 1.0453,                0.99636,                0.40198,                 0.3141,                 0.3067,                0.17341,                 2.1084,                 0.9971,                0.96722,                0.00505,                0.00505,                0.00505
                     53,                 2.1601,                 1.0479,                0.99375,                0.40543,                0.31512,                 0.3064,                0.17295,                 2.1092,                0.99473,                0.96673,               0.004951,               0.004951,               0.004951
                     54,                 2.1615,                 1.0494,                0.99735,                0.41571,                0.31164,                0.30825,                0.17453,                 2.1067,                0.99031,                0.96594,               0.004852,               0.004852,               0.004852
                     55,                 2.1591,                 1.0492,                0.99407,                0.40526,                0.31425,                0.30933,                0.17526,                 2.1036,                0.98533,                 0.9655,               0.004753,               0.004753,               0.004753
                     56,                 2.1547,                 1.0394,                0.99466,                0.40984,                0.31678,                0.31123,                0.17683,                 2.1046,                0.98676,                0.96472,               0.004654,               0.004654,               0.004654
                     57,                  2.158,                 1.0362,                 0.9928,                 0.4127,                0.31737,                0.31138,                0.17662,                  2.104,                0.98348,                 0.9653,               0.004555,               0.004555,               0.004555
                     58,                 2.1478,                 1.0269,                0.99219,                0.40541,                0.32105,                0.31259,                 0.1761,                 2.1021,                0.98091,                 0.9632,               0.004456,               0.004456,               0.004456
                     59,                 2.1461,                  1.028,                0.98937,                0.41275,                0.32326,                0.31306,                 0.1771,                 2.1026,                0.98053,                0.96378,               0.004357,               0.004357,               0.004357
                     60,                 2.1496,                 1.0276,                 0.9916,                0.41792,                0.32346,                0.31444,                0.17822,                 2.1014,                0.97781,                0.96295,               0.004258,               0.004258,               0.004258
                     61,                 2.1497,                 1.0243,                0.99038,                0.41665,                0.32407,                0.31547,                0.17868,                 2.1019,                0.97712,                0.96423,               0.004159,               0.004159,               0.004159
                     62,                 2.1427,                 1.0156,                0.98516,                0.41905,                 0.3212,                0.31499,                0.17854,                 2.0981,                 0.9723,                0.96241,                0.00406,                0.00406,                0.00406
                     63,                 2.1441,                 1.0179,                0.98794,                0.41945,                0.32555,                0.31854,                0.17916,                 2.0983,                0.97428,                 0.9638,               0.003961,               0.003961,               0.003961
                     64,                 2.1396,                 1.0145,                0.98561,                0.42051,                0.32143,                0.31591,                0.17836,                 2.0957,                0.97265,                0.96197,               0.003862,               0.003862,               0.003862
                     65,                  2.137,                 1.0117,                0.98532,                0.42714,                 0.3197,                0.31797,                0.18034,                 2.0962,                0.97263,                 0.9619,               0.003763,               0.003763,               0.003763
                     66,                 2.1396,                 1.0102,                0.98748,                 0.4166,                0.32833,                0.31881,                0.18132,                  2.096,                0.97398,                0.96097,               0.003664,               0.003664,               0.003664
                     67,                 2.1359,                 1.0076,                 0.9845,                0.42596,                0.32604,                0.32048,                0.18284,                 2.0934,                0.96849,                0.96057,               0.003565,               0.003565,               0.003565
                     68,                 2.1308,                 1.0069,                0.98512,                0.42096,                0.32594,                 0.3196,                0.18107,                 2.0913,                0.96755,                0.96052,               0.003466,               0.003466,               0.003466
                     69,                 2.1274,                0.99822,                0.98214,                0.42199,                0.32373,                0.31998,                0.18298,                 2.0915,                0.96417,                0.96019,               0.003367,               0.003367,               0.003367
                     70,                 2.1349,                 1.0012,                0.98152,                0.41815,                0.32923,                0.32084,                0.18254,                  2.092,                0.96381,                0.95966,               0.003268,               0.003268,               0.003268
                     71,                 2.1281,                0.99099,                0.98221,                0.41921,                0.33095,                0.32266,                0.18325,                 2.0897,                0.96377,                 0.9584,               0.003169,               0.003169,               0.003169
                     72,                 2.1253,                0.98806,                0.98135,                0.42065,                0.33289,                0.32231,                0.18352,                 2.0902,                0.96504,                0.95933,                0.00307,                0.00307,                0.00307
                     73,                 2.1267,                0.98574,                0.98067,                 0.4226,                0.32962,                0.32086,                0.18299,                 2.0901,                0.96318,                0.95876,               0.002971,               0.002971,               0.002971
                     74,                  2.128,                0.99169,                0.97876,                0.42369,                0.32873,                0.32256,                0.18377,                  2.089,                0.96069,                0.95847,               0.002872,               0.002872,               0.002872
                     75,                 2.1196,                0.98354,                0.97767,                0.42719,                 0.3319,                0.32333,                0.18477,                  2.088,                0.96005,                0.95841,               0.002773,               0.002773,               0.002773
                     76,                 2.1184,                0.97983,                0.97815,                0.42172,                0.33142,                0.32394,                0.18494,                 2.0879,                0.95876,                 0.9585,               0.002674,               0.002674,               0.002674
                     77,                 2.1191,                0.98339,                0.97679,                0.42589,                0.33242,                0.32418,                0.18477,                 2.0867,                0.95675,                0.95749,               0.002575,               0.002575,               0.002575
                     78,                 2.1216,                0.98144,                0.97976,                0.41553,                0.33222,                0.32276,                0.18407,                 2.0866,                 0.9566,                 0.9575,               0.002476,               0.002476,               0.002476
                     79,                 2.1161,                0.97405,                0.97838,                0.41995,                0.33074,                 0.3235,                0.18427,                 2.0852,                0.95678,                0.95674,               0.002377,               0.002377,               0.002377
                     80,                  2.115,                0.97348,                0.98023,                 0.4246,                0.32744,                 0.3232,                0.18406,                 2.0865,                0.95826,                0.95745,               0.002278,               0.002278,               0.002278
                     81,                 2.1119,                0.96524,                0.97411,                0.41602,                0.33211,                0.32463,                0.18481,                 2.0854,                0.95585,                0.95704,               0.002179,               0.002179,               0.002179
                     82,                 2.1123,                0.96605,                 0.9733,                0.42177,                0.33216,                0.32512,                0.18516,                 2.0845,                 0.9563,                0.95675,                0.00208,                0.00208,                0.00208
                     83,                 2.1129,                0.96914,                0.97548,                0.42584,                0.33318,                0.32595,                0.18579,                 2.0848,                0.95599,                0.95747,               0.001981,               0.001981,               0.001981
                     84,                 2.1109,                0.96263,                0.97582,                0.42119,                0.33682,                0.32612,                0.18622,                 2.0846,                0.95356,                0.95713,               0.001882,               0.001882,               0.001882
                     85,                 2.1111,                0.96495,                0.97244,                0.43009,                0.33242,                0.32698,                0.18651,                 2.0836,                0.95267,                0.95663,               0.001783,               0.001783,               0.001783
                     86,                  2.111,                0.96113,                0.97439,                0.42929,                0.33497,                0.32633,                0.18627,                 2.0831,                0.95299,                0.95606,               0.001684,               0.001684,               0.001684
                     87,                 2.1053,                0.95746,                0.97381,                0.43079,                 0.3358,                0.32808,                0.18746,                 2.0827,                0.95077,                0.95597,               0.001585,               0.001585,               0.001585
                     88,                 2.1087,                0.96027,                 0.9746,                0.43096,                0.33401,                0.32793,                0.18795,                 2.0819,                0.95045,                0.95567,               0.001486,               0.001486,               0.001486
                     89,                 2.1057,                0.95274,                0.97337,                0.43254,                0.33551,                0.32835,                0.18826,                  2.081,                0.95022,                 0.9557,               0.001387,               0.001387,               0.001387
                     90,                 2.1035,                0.95058,                0.97068,                0.43434,                0.33495,                0.32945,                0.18817,                   2.08,                0.94869,                0.95555,               0.001288,               0.001288,               0.001288
                     91,                 2.0933,                0.92876,                0.98078,                0.43125,                0.33773,                0.32796,                0.18799,                 2.0804,                0.94946,                0.95534,               0.001189,               0.001189,               0.001189
                     92,                 2.0855,                0.91758,                0.97391,                0.42825,                 0.3375,                0.32775,                 0.1878,                 2.0813,                0.94982,                0.95539,                0.00109,                0.00109,                0.00109
                     93,                 2.0827,                0.91434,                0.97406,                0.43077,                0.33959,                0.32767,                0.18778,                 2.0814,                 0.9506,                0.95549,               0.000991,               0.000991,               0.000991
                     94,                 2.0823,                0.91301,                0.97322,                0.42985,                0.33818,                0.32811,                0.18797,                 2.0809,                0.94915,                0.95541,               0.000892,               0.000892,               0.000892
                     95,                 2.0801,                0.90793,                0.97245,                0.42741,                0.33565,                0.32715,                0.18771,                 2.0813,                0.94868,                 0.9557,               0.000793,               0.000793,               0.000793
                     96,                 2.0769,                0.90583,                0.97187,                0.43109,                0.33509,                0.32622,                0.18735,                 2.0812,                0.94949,                0.95567,               0.000694,               0.000694,               0.000694
                     97,                 2.0766,                0.90108,                0.96955,                0.42764,                 0.3375,                0.32662,                0.18779,                 2.0808,                0.94933,                0.95557,               0.000595,               0.000595,               0.000595
                     98,                 2.0762,                0.90073,                0.96874,                0.42705,                0.33561,                0.32669,                0.18752,                 2.0806,                0.94823,                0.95543,               0.000496,               0.000496,               0.000496
                     99,                 2.0729,                0.89612,                0.96983,                0.42607,                0.33624,                0.32673,                0.18758,                 2.0805,                0.94867,                0.95532,               0.000397,               0.000397,               0.000397
                    100,                 2.0711,                0.89324,                0.96881,                0.42828,                0.33609,                0.32744,                0.18753,                 2.0806,                 0.9481,                0.95538,               0.000298,               0.000298,               0.000298
