                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3491,                 4.0267,                 2.8907,                0.02318,                0.08135,                0.02413,                0.00822,                 3.4103,                 2.5337,                 1.7645,              0.0033292,              0.0033292,              0.0033292
                      2,                 3.1751,                 2.4995,                 1.5862,                0.40882,                0.08125,                0.05928,                0.02464,                 2.9717,                 2.0621,                 1.4214,              0.0065966,              0.0065966,              0.0065966
                      3,                 2.8851,                 2.1669,                 1.3714,                0.06866,                0.17788,                0.08507,                0.03931,                 2.7121,                 1.8924,                 1.2395,               0.009798,               0.009798,               0.009798
                      4,                   2.73,                  1.943,                 1.2645,                0.13976,                0.15511,                0.10648,                0.05067,                  2.627,                 1.7673,                 1.1839,               0.009703,               0.009703,               0.009703
                      5,                 2.6221,                 1.7722,                 1.2061,                0.20164,                0.15841,                0.13254,                0.06592,                 2.4865,                 1.5515,                 1.1356,               0.009703,               0.009703,               0.009703
                      6,                 2.5429,                 1.6568,                 1.1682,                0.23788,                0.18098,                0.15091,                0.07825,                  2.449,                 1.4613,                 1.1028,               0.009604,               0.009604,               0.009604
                      7,                 2.4968,                 1.5813,                 1.1464,                0.22596,                0.20578,                0.16314,                0.08433,                 2.3853,                 1.4158,                 1.0827,               0.009505,               0.009505,               0.009505
                      8,                 2.4582,                 1.5261,                 1.1314,                0.26239,                0.20599,                0.17921,                0.09203,                   2.36,                 1.3485,                 1.0708,               0.009406,               0.009406,               0.009406
                      9,                 2.4243,                 1.4766,                 1.1159,                0.27224,                0.21227,                0.18228,                0.09581,                 2.3479,                   1.32,                 1.0635,               0.009307,               0.009307,               0.009307
                     10,                   2.39,                 1.4281,                 1.1002,                0.27238,                0.22384,                 0.1896,                0.10125,                 2.3162,                 1.2835,                 1.0512,               0.009208,               0.009208,               0.009208
                     11,                 2.3807,                 1.4019,                 1.0909,                0.28297,                 0.2269,                0.19773,                0.10524,                 2.2996,                 1.2739,                 1.0454,               0.009109,               0.009109,               0.009109
                     12,                 2.3699,                 1.3805,                 1.0859,                0.29561,                0.22955,                0.20613,                0.11123,                 2.2858,                  1.245,                 1.0391,                0.00901,                0.00901,                0.00901
